t_s,H,n_kpts,rms_m,source
2724.0,"[[0.0070782914549898475, -0.049708990349188735, 22.993959204467362], [-0.0008150711469155466, 0.038797181658718566, -14.471990260154657], [3.834574863563756e-05, -0.00158872413765633, 1.0]]",14,0.59,model
2725.0,"[[0.005339116377206974, -0.047216859951755834, 23.915290027525817], [-0.00020287603194889202, 0.035713738904288396, -13.761345311625423], [-2.259277211520444e-05, -0.0015301608973046612, 1.0]]",16,0.51,model
2726.0,"[[0.006311757325962984, -0.047748560340121336, 22.620965124486236], [-0.0008339479614330168, 0.03667163146074312, -13.509361024392321], [7.146446511163551e-06, -0.0015540662572286206, 1.0]]",15,0.73,model
2727.0,"[[0.0071615478895406485, -0.05103632899463301, 21.32301419612547], [-0.002119166905643077, 0.038376066786109435, -11.989732127940533], [4.637601253486762e-05, -0.0015980985696603931, 1.0]]",10,0.92,model
2728.0,"[[0.006432137816138164, -0.05131794035215355, 21.040853585888062], [-0.0029166046637123587, 0.04123167740095912, -12.437482489345024], [1.5125751987143956e-05, -0.0015060232782321168, 1.0]]",8,0.63,model
2729.0,"[[0.005582611993270853, -0.04659276436905597, 18.739612624833953], [-0.001767072016704933, 0.02751233320714843, -8.102675638521854], [3.886187414854509e-05, -0.0016591540076965317, 1.0]]",8,1.73,model
2730.0,"[[0.005253490557050522, -0.045213060835211434, 18.4197613214293], [-0.0016476758294433995, 0.02464281481212889, -6.92327859467962], [3.6764497944954044e-05, -0.0016700397274754977, 1.0]]",8,1.99,model
2731.0,,7,3.03,reject
2732.0,"[[0.006784708112228001, -0.05085062459637806, 18.376232144903163], [-0.0003773054914025802, 0.010086867357847553, -1.8157822587383727], [0.0001285746507155413, -0.002000592359022159, 1.0]]",7,1.91,model
2733.0,,8,16.38,reject
2734.0,"[[0.00470133785885774, -0.04164348278442602, 17.23655914834208], [-0.0019313625404447543, 0.024930715483074208, -6.396227335935335], [-4.471440818714588e-06, -0.001538854681160583, 1.0]]",7,1.98,model
